r,z,intensity
69,3,95.6796116505
69,4,104.848874598
69,5,105.0
69,6,103.586538462
69,7,109.934131737
69,8,117.680555556
69,9,119.770114943
69,10,110.62295082
69,11,60.2
69,12,0
69,13,0
69,14,0
69,15,0
69,16,0
69,17,0
69,18,0
69,19,0
69,20,0
69,21,0
69,22,0
69,23,0
69,24,0
69,25,0
69,26,0
69,27,0
69,28,0
69,29,0
69,30,0
69,31,0
69,32,0
69,33,0
69,34,0
69,35,0
69,36,0
69,37,0
69,38,0
69,39,0
69,40,0
69,41,0
69,42,0
69,43,0
69,44,0
69,45,0
69,46,0
69,47,0
72,1,59.293064877
72,2,82.6293859649
72,3,92.5942857143
72,4,96.6473029046
72,5,98.7440758294
72,6,105.27607362
72,7,122.166666667
72,8,123.632352941
72,9,112.133333333
72,10,75.1176470588
72,11,0
72,12,0
72,13,0
72,14,0
72,15,0
72,16,0
72,17,0
72,18,0
72,19,0
72,20,0
72,21,0
72,22,0
72,23,0
72,24,0
72,25,0
72,26,0
72,27,0
72,28,0
72,29,0
72,30,0
72,31,0
72,32,0
72,33,0
72,34,0
72,35,0
72,36,0
72,37,0
72,38,0
72,39,0
72,40,0
72,41,0
72,42,0
72,43,0
72,44,0
72,45,0
72,46,0
72,47,0
75,1,52.1989924433
75,2,74.9083769634
75,3,88.0868167203
75,4,91.4129353234
75,5,96.5438596491
75,6,107.965217391
75,7,110.252631579
75,8,102.823529412
75,9,89.8888888889
75,10,0
75,11,0
75,12,0
75,13,0
75,14,0
75,15,0
75,16,0
75,17,0
75,18,0
75,19,0
75,20,0
75,21,0
75,22,0
75,23,0
75,24,0
75,25,0
75,26,0
75,27,0
75,28,0
75,29,0
75,30,0
75,31,0
75,32,0
75,33,0
75,34,0
75,35,0
75,36,0
75,37,0
75,38,0
75,39,0
75,40,0
75,41,0
75,42,0
75,43,0
75,44,0
75,45,0
75,46,0
75,47,0
78,1,50.0822368421
78,2,72.38585209
78,3,85.6218487395
78,4,92.534591195
78,5,100.635761589
78,6,112.139534884
78,7,110.446808511
78,8,81.05
78,9,0
78,10,0
78,11,0
78,12,0
78,13,0
78,14,0
78,15,0
78,16,0
78,17,0
78,18,0
78,19,0
78,20,0
78,21,0
78,22,0
78,23,0
78,24,0
78,25,0
78,26,0
78,27,0
78,28,0
78,29,0
78,30,0
78,31,0
78,32,0
78,33,0
78,34,0
78,35,0
78,36,0
78,37,0
78,38,0
78,39,0
78,40,0
78,41,0
78,42,0
78,43,0
78,44,0
78,45,0
78,46,0
78,47,0
81,1,58.2300884956
81,2,80.3669724771
81,3,88.2694063927
81,4,90.1875
81,5,101.107526882
81,6,129.0
81,7,101.142857143
81,8,61.25
81,9,0
81,10,0
81,11,0
81,12,0
81,13,0
81,14,0
81,15,0
81,16,0
81,17,0
81,18,0
81,19,0
81,20,0
81,21,0
81,22,0
81,23,0
81,24,0
81,25,0
81,26,0
81,27,0
81,28,0
81,29,0
81,30,0
81,31,0
81,32,0
81,33,0
81,34,0
81,35,0
81,36,0
81,37,0
81,38,0
81,39,0
81,40,0
81,41,0
81,42,0
81,43,0
81,44,0
81,45,0
81,46,0
81,47,0
84,1,64.8489208633
84,2,87.1644736842
84,3,94.8571428571
84,4,105.194029851
84,5,85.7916666667
84,6,0
84,7,0
84,8,0
84,9,0
84,10,0
84,11,0
84,12,0
84,13,0
84,14,0
84,15,0
84,16,0
84,17,0
84,18,0
84,19,0
84,20,0
84,21,0
84,22,0
84,23,0
84,24,0
84,25,0
84,26,0
84,27,0
84,28,0
84,29,0
84,30,0
84,31,0
84,32,0
84,33,0
84,34,0
84,35,0
84,36,0
84,37,0
84,38,0
84,39,0
84,40,0
84,41,0
84,42,0
84,43,0
84,44,0
84,45,0
84,46,0
84,47,0
87,1,54.9189189189
87,2,87.4594594595
87,3,108.630434783
87,4,140.285714286
87,5,0
87,6,0
87,7,0
87,8,0
87,9,0
87,10,0
87,11,0
87,12,0
87,13,0
87,14,0
87,15,0
87,16,0
87,17,0
87,18,0
87,19,0
87,20,0
87,21,0
87,22,0
87,23,0
87,24,0
87,25,0
87,26,0
87,27,0
87,28,0
87,29,0
87,30,0
87,31,0
87,32,0
87,33,0
87,34,0
87,35,0
87,36,0
87,37,0
87,38,0
87,39,0
87,40,0
87,41,0
87,42,0
87,43,0
87,44,0
87,45,0
87,46,0
87,47,0
90,1,0
90,2,0
90,3,0
90,4,0
90,5,0
90,6,0
90,7,0
90,8,0
90,9,0
90,10,0
90,11,0
90,12,0
90,13,0
90,14,0
90,15,0
90,16,0
90,17,0
90,18,0
90,19,0
90,20,0
90,21,0
90,22,0
90,23,0
90,24,0
90,25,0
90,26,0
90,27,0
90,28,0
90,29,0
90,30,0
90,31,0
90,32,0
90,33,0
90,34,0
90,35,0
90,36,0
90,37,0
90,38,0
90,39,0
90,40,0
90,41,0
90,42,0
90,43,0
90,44,0
90,45,0
90,46,0
90,47,0
